hla_class,intersection,n_proteins,uniprot_id,gene_name
HLA-I,All three,1904,P02751,FINC
HLA-I,All three,1904,P02768,ALBU
HLA-I,All three,1904,P02786,TFR1
HLA-I,All three,1904,P02792,FRIL
HLA-I,All three,1904,P04035,HMDH
HLA-I,All three,1904,P04040,CATA
HLA-I,All three,1904,P04062,GLCM
HLA-I,All three,1904,P04075,ALDOA
HLA-I,All three,1904,P04083,ANXA1
HLA-I,All three,1904,P04150,GCR
HLA-I,All three,1904,P04233,HG2A
HLA-I,All three,1904,P04264,K2C1
HLA-I,All three,1904,P04275,VWF
HLA-I,All three,1904,P04406,G3P
HLA-I,All three,1904,P04439,HLAA
HLA-I,All three,1904,P04440,DPB1
HLA-I,All three,1904,P04632,CPNS1
HLA-I,All three,1904,P04637,P53
HLA-I,All three,1904,P04792,HSPB1
HLA-I,All three,1904,P04839,CY24B
HLA-I,All three,1904,P04843,RPN1
HLA-I,All three,1904,P04844,RPN2
HLA-I,All three,1904,P05023,AT1A1
HLA-I,All three,1904,P05067,A4
HLA-I,All three,1904,P05107,ITB2
HLA-I,All three,1904,P05109,S10A8
HLA-I,All three,1904,P05155,IC1
HLA-I,All three,1904,P05362,ICAM1
HLA-I,All three,1904,P05412,JUN
HLA-I,All three,1904,P05538,DQB2
HLA-I,All three,1904,P05556,ITB1
HLA-I,All three,1904,P05783,K1C18
HLA-I,All three,1904,P05787,K2C8
HLA-I,All three,1904,P06280,AGAL
HLA-I,All three,1904,P06340,DOA
HLA-I,All three,1904,P06396,GELS
HLA-I,All three,1904,P06400,RB
HLA-I,All three,1904,P06576,ATPB
HLA-I,All three,1904,P06681,CO2
HLA-I,All three,1904,P06703,S10A6
HLA-I,All three,1904,P06733,ENOA
HLA-I,All three,1904,P06737,PYGL
HLA-I,All three,1904,P06744,G6PI
HLA-I,All three,1904,P06748,NPM
HLA-I,All three,1904,P06756,ITAV
HLA-I,All three,1904,P07099,HYEP
HLA-I,All three,1904,P07195,LDHB
HLA-I,All three,1904,P07203,GPX1
HLA-I,All three,1904,P07237,PDIA1
HLA-I,All three,1904,P07333,CSF1R
HLA-I,All three,1904,P07339,CATD
HLA-I,All three,1904,P07355,ANXA2
HLA-I,All three,1904,P07384,CAN1
HLA-I,All three,1904,P07437,TBB5
HLA-I,All three,1904,P07602,SAP
HLA-I,All three,1904,P07686,HEXB
HLA-I,All three,1904,P07711,CATL1
HLA-I,All three,1904,P07814,SYEP
HLA-I,All three,1904,P07858,CATB
HLA-I,All three,1904,P07900,HS90A
HLA-I,All three,1904,P07910,HNRPC
HLA-I,All three,1904,P07942,LAMB1
HLA-I,All three,1904,P07948,LYN
HLA-I,All three,1904,P07988,PSPB
HLA-I,All three,1904,P07996,TSP1
HLA-I,All three,1904,P08133,ANXA6
HLA-I,All three,1904,P08195,4F2
HLA-I,All three,1904,P08236,BGLR
HLA-I,All three,1904,P08238,HS90B
HLA-I,All three,1904,P08240,SRPRA
HLA-I,All three,1904,P08243,ASNS
HLA-I,All three,1904,P08567,PLEK
HLA-I,All three,1904,P08571,CD14
HLA-I,All three,1904,P08575,PTPRC
HLA-I,All three,1904,P08631,HCK
HLA-I,All three,1904,P08670,VIME
HLA-I,All three,1904,P08727,K1C19
HLA-I,All three,1904,P08729,K2C7
HLA-I,All three,1904,P08758,ANXA5
HLA-I,All three,1904,P08865,RSSA
HLA-I,All three,1904,P08910,ABHD2
HLA-I,All three,1904,P09211,GSTP1
HLA-I,All three,1904,P09496,CLCA
HLA-I,All three,1904,P09601,HMOX1
HLA-I,All three,1904,P09651,ROA1
HLA-I,All three,1904,P09871,C1S
HLA-I,All three,1904,P09874,PARP1
HLA-I,All three,1904,P09912,IFI6
HLA-I,All three,1904,P09914,IFIT1
HLA-I,All three,1904,P09917,LOX5
HLA-I,All three,1904,P09960,LKHA4
HLA-I,All three,1904,P09972,ALDOC
HLA-I,All three,1904,P0C0L4,CO4A
HLA-I,All three,1904,P0C0L5,CO4B
HLA-I,All three,1904,P0C0S5,H2AZ
HLA-I,All three,1904,P0DMV8,HS71A
HLA-I,All three,1904,P0DOY3,IGLC3
HLA-I,All three,1904,P0DP24,CALM2
HLA-I,All three,1904,P10253,LYAG
HLA-I,All three,1904,P10321,HLAC
HLA-I,All three,1904,P10586,PTPRF
HLA-I,All three,1904,P10619,PPGB
HLA-I,All three,1904,P10644,KAP0
HLA-I,All three,1904,P10721,KIT
HLA-I,All three,1904,P10768,ESTD
HLA-I,All three,1904,P11021,BIP
HLA-I,All three,1904,P11047,LAMC1
HLA-I,All three,1904,P11142,HSP7C
